Date	Anduze
31/10/2015 12:45	0.66
31/10/2015 12:30	0.67
31/10/2015 12:15	0.67
31/10/2015 12:00	0.66
31/10/2015 11:45	0.68
31/10/2015 11:30	0.67
31/10/2015 11:15	0.67
31/10/2015 11:00	0.67
31/10/2015 10:45	0.68
31/10/2015 10:30	0.69
31/10/2015 10:15	0.67
31/10/2015 10:00	0.69
31/10/2015 09:45	0.68
31/10/2015 09:30	0.68
31/10/2015 09:15	0.68
31/10/2015 09:00	0.68
31/10/2015 08:45	0.69
31/10/2015 08:30	0.68
31/10/2015 08:15	0.69
31/10/2015 08:00	0.69
31/10/2015 07:45	0.69
31/10/2015 07:15	0.69
31/10/2015 07:00	0.7
31/10/2015 06:45	0.7
31/10/2015 06:30	0.7
31/10/2015 06:15	0.7
31/10/2015 06:00	0.7
31/10/2015 05:45	0.7
31/10/2015 05:30	0.71
31/10/2015 05:15	0.7
31/10/2015 05:00	0.72
31/10/2015 04:45	0.71
31/10/2015 04:30	0.72
31/10/2015 04:15	0.71
31/10/2015 04:00	0.72
31/10/2015 03:45	0.72
31/10/2015 03:30	0.71
31/10/2015 03:15	0.72
31/10/2015 03:00	0.73
31/10/2015 02:45	0.72
31/10/2015 02:30	0.73
31/10/2015 02:15	0.73
31/10/2015 02:00	0.73
31/10/2015 01:45	0.73
31/10/2015 01:30	0.72
31/10/2015 01:15	0.73
31/10/2015 01:00	0.73
31/10/2015 00:45	0.74
31/10/2015 00:30	0.74
31/10/2015 00:15	0.74
31/10/2015 00:00	0.74
30/10/2015 23:45	0.74
30/10/2015 23:30	0.76
30/10/2015 23:00	0.76
30/10/2015 22:45	0.75
30/10/2015 22:30	0.75
30/10/2015 22:15	0.77
30/10/2015 22:00	0.76
30/10/2015 21:45	0.76
30/10/2015 21:30	0.77
30/10/2015 21:15	0.76
30/10/2015 21:00	0.77
30/10/2015 20:45	0.78
30/10/2015 20:30	0.77
30/10/2015 20:15	0.78
30/10/2015 20:00	0.79
30/10/2015 19:45	0.77
30/10/2015 19:30	0.78
30/10/2015 19:15	0.79
30/10/2015 19:00	0.78
30/10/2015 18:30	0.79
30/10/2015 18:15	0.79
30/10/2015 18:00	0.79
30/10/2015 17:45	0.79
30/10/2015 17:15	0.82
30/10/2015 17:00	0.8
30/10/2015 16:45	0.81
30/10/2015 16:30	0.82
30/10/2015 16:15	0.81
30/10/2015 16:00	0.82
30/10/2015 15:45	0.81
30/10/2015 15:30	0.82
30/10/2015 15:15	0.82
30/10/2015 15:00	0.83
30/10/2015 14:45	0.84
30/10/2015 14:30	0.82
30/10/2015 14:15	0.84
30/10/2015 14:00	0.83
30/10/2015 13:45	0.83
30/10/2015 13:30	0.84
30/10/2015 13:15	0.83
30/10/2015 13:00	0.84
30/10/2015 12:45	0.83
30/10/2015 12:30	0.86
30/10/2015 12:15	0.85
30/10/2015 12:00	0.85
30/10/2015 11:45	0.85
30/10/2015 11:30	0.86
30/10/2015 11:15	0.87
30/10/2015 11:00	0.85
30/10/2015 10:45	0.87
30/10/2015 10:30	0.86
30/10/2015 10:15	0.87
30/10/2015 10:00	0.87
30/10/2015 09:45	0.87
30/10/2015 09:30	0.88
30/10/2015 09:15	0.87
30/10/2015 09:00	0.87
30/10/2015 08:45	0.89
30/10/2015 08:30	0.88
30/10/2015 08:15	0.89
30/10/2015 08:00	0.89
30/10/2015 07:45	0.89
30/10/2015 07:30	0.89
30/10/2015 07:15	0.9
30/10/2015 07:00	0.9
30/10/2015 06:45	0.91
30/10/2015 06:30	0.9
30/10/2015 06:15	0.92
30/10/2015 06:00	0.91
30/10/2015 05:45	0.91
30/10/2015 05:30	0.93
30/10/2015 05:15	0.92
30/10/2015 05:00	0.92
30/10/2015 04:45	0.93
30/10/2015 04:30	0.95
30/10/2015 04:15	0.93
30/10/2015 04:00	0.94
30/10/2015 03:45	0.94
30/10/2015 03:30	0.95
30/10/2015 03:15	0.95
30/10/2015 03:00	0.95
30/10/2015 02:45	0.96
30/10/2015 02:30	0.95
30/10/2015 02:15	0.97
30/10/2015 02:00	0.97
30/10/2015 01:45	0.98
30/10/2015 01:30	0.98
30/10/2015 01:15	0.99
30/10/2015 01:00	0.99
30/10/2015 00:45	1
30/10/2015 00:30	1
30/10/2015 00:15	1
30/10/2015 00:00	1
29/10/2015 23:45	1.01
29/10/2015 23:30	1
29/10/2015 23:15	1.01
29/10/2015 23:00	1.03
29/10/2015 22:45	1.02
29/10/2015 22:30	1.03
29/10/2015 22:15	1.03
29/10/2015 22:00	1.03
29/10/2015 21:45	1.05
29/10/2015 21:30	1.05
29/10/2015 21:15	1.06
29/10/2015 21:00	1.05
29/10/2015 20:45	1.07
29/10/2015 20:30	1.06
29/10/2015 20:15	1.07
29/10/2015 20:00	1.08
29/10/2015 19:45	1.08
29/10/2015 19:30	1.09
29/10/2015 19:15	1.11
29/10/2015 18:45	1.1
29/10/2015 18:30	1.11
29/10/2015 18:15	1.11
29/10/2015 18:00	1.12
29/10/2015 17:45	1.13
29/10/2015 17:30	1.13
29/10/2015 17:15	1.13
29/10/2015 17:00	1.14
29/10/2015 16:45	1.15
29/10/2015 16:30	1.17
29/10/2015 16:15	1.16
29/10/2015 16:00	1.17
29/10/2015 15:45	1.19
29/10/2015 15:30	1.18
29/10/2015 15:15	1.2
29/10/2015 15:00	1.19
29/10/2015 14:45	1.21
29/10/2015 14:30	1.2
